"ID Requisito","Tipo","Proceso Principal","Subproceso","Módulo / Componente","Nombre del Requisito","Descripción Detallada","Prioridad","Estado","Capa Backend (Spring Boot)","Capa Frontend (React)","Tabla BD (MySQL 3FN)"
"RF-001","Funcional","P-01: Gestión de Usuarios y Accesos","Subproceso 1.1: Registro de Cuentas por Rol","Autenticación","Registro de Usuarios por Rol","Registro de nuevos usuarios asignando roles específicos (ADMIN, CANDIDATO, EMPRESA).","Alta","Implementado 100%","AuthController.java / UsuarioServiceImpl.java","Registro.jsx","usuarios, candidatos, empresas"
"RF-002","Funcional","P-01: Gestión de Usuarios y Accesos","Subproceso 1.2: Autenticación y Generación de JWT","Seguridad","Autenticación Stateless con JWT y BCrypt","Inicio de sesión seguro con tokens HMAC-SHA256 JWT y encriptación de contraseñas con BCrypt.","Alta","Implementado 100%","JwtTokenProvider.java / SecurityConfig.java","Login.jsx / AuthContext.jsx","usuarios"
"RNF-001","No Funcional","P-01: Gestión de Usuarios y Accesos","Subproceso 1.3: Intercepción y Seguridad CORS","Seguridad","Protección Stateless JWT & CORS","Arquitectura de seguridad sin estado con tokens encriptados y filtros de origen cruzado (CORS).","Alta","Implementado 100%","SecurityConfig.java / JwtAuthenticationFilter.java","api.js (Axios Interceptors)","usuarios"
"RF-003","Funcional","P-02: Gestión de Perfiles y Datos Maestros","Subproceso 2.1: Gestión de Hoja de Vida y Perfil Profesional","Candidatos","Perfil Completo de Candidato","Gestión de datos de candidatos: nivel educativo, ocupación, dirección, experiencia y habilidades.","Alta","Implementado 100%","CandidatoController.java / CandidatoServiceImpl.java","CandidatoDashboard.jsx","candidatos"
"RF-004","Funcional","P-02: Gestión de Perfiles y Datos Maestros","Subproceso 2.2: Perfil Corporativo y Ubicación GPS","Empresas","Perfil Empresarial y Ubicación GPS","Administración de perfil empresarial: NIT, sector, correo corporativo, sitio web y coordenadas GPS.","Alta","Implementado 100%","EmpresaController.java / EmpresaServiceImpl.java","EmpresaPerfil.jsx","empresas"
"RF-012","Funcional","P-02: Gestión de Perfiles y Datos Maestros","Subproceso 2.3: Consulta de Países y Geografía External","Integración Externa","Consulta REST Countries API","Enriquecimiento de datos geográficos de países externos con resiliencia.","Baja","Implementado 100%","CountryApiService.java / PaisController.java","Registro.jsx / EmpresaPerfil.jsx","N/A (External API)"
"RF-005","Funcional","P-03: Gestión de Ofertas de Empleo","Subproceso 3.1: Creación, Edición y Publicación de Ofertas","Vacantes","Publicación y Edición de Vacantes","Permite a las empresas publicar ofertas de empleo con salario, contrato, ciudad y estado.","Alta","Implementado 100%","VacanteController.java / VacanteServiceImpl.java","EmpresaDashboard.jsx","vacantes"
"RF-006","Funcional","P-03: Gestión de Ofertas de Empleo","Subproceso 3.2: Búsqueda, Filtrado Avanzado y Paginación","Búsqueda","Filtrado Dinámico de Vacantes","Búsqueda por palabra clave, ciudad, nivel de estudio y empresa con paginación.","Media","Implementado 100%","VacanteSpecification.java / VacanteController.java","VacantesList.jsx","vacantes, empresas"
"RF-011","Funcional","P-03: Gestión de Ofertas de Empleo","Subproceso 3.3: Mapeo Geográfico de Sedes","Mapas","Visualización Interactiva en Google Maps","Mapeo de ubicación de sedes de empresas y empleadores con marcadores interactivos.","Media","Implementado 100%","GoogleMapsService.java","GoogleMap.jsx","empresas (latitud, longitud)"
"RF-007","Funcional","P-04: Intermediación Laboral y Selección","Subproceso 4.1: Postulación a Ofertas y Validación de Restricciones","Postulaciones","Postulación a Ofertas Laborales","Permite a candidatos postularse previniendo postulaciones duplicadas por restricción única.","Alta","Implementado 100%","PostulacionController.java / PostulacionServiceImpl.java","VacanteDetail.jsx / MisPostulaciones.jsx","postulaciones"
"RF-008","Funcional","P-04: Intermediación Laboral y Selección","Subproceso 4.2: Evaluación y Cambio de Estado de Postulantes","Gestión Selección","Control de Estado de Postulaciones","Empresas evalúan postulaciones cambiando estados (PENDIENTE, EN_REVISION, ACEPTADA, RECHAZADA) con observaciones.","Alta","Implementado 100%","PostulacionServiceImpl.java","EmpresaPostulaciones.jsx","postulaciones"
"RF-009","Funcional","P-04: Intermediación Laboral y Selección","Subproceso 4.3: Marcado y Gestión de Ofertas Guardadas","Favoritos","Guardar Vacantes Favoritas","Candidatos marcan vacantes de interés para consulta posterior.","Media","Implementado 100%","FavoritoController.java / FavoritoServiceImpl.java","MisFavoritos.jsx","favoritos"
"RF-010","Funcional","P-04: Intermediación Laboral y Selección","Subproceso 4.4: Motor de Recomendaciones y Cálculo de Match","Inteligencia","Motor de Recomendaciones Inteligente","Cálculo automático de match porcentual (Ciudad 25%, Nivel 25%, Ocupación 20%, Habilidades 30%).","Alta","Implementado 100%","RecomendacionServiceImpl.java","CandidatoDashboard.jsx","candidatos, vacantes"
"RF-013","Funcional","P-05: Reportes, Auditoría y Administración","Subproceso 5.1: Generación y Exportación de Certificados PDF","Reportes","Exportación de Documentos en PDF","Generación dinámica de certificados de postulación y resúmenes en PDF.","Media","Implementado 100%","N/A (Client-Side Export)","pdfGenerator.js / MisPostulaciones.jsx","postulaciones"
"RF-014","Funcional","P-05: Reportes, Auditoría y Administración","Subproceso 5.2: Monitoreo Global y Panel Administrativo","Admin","Dashboard de Administrador","Control global de usuarios, monitoreo de la plataforma y métricas de actividad.","Alta","Implementado 100%","UsuarioController.java / AuditoriaController.java","AdminDashboard.jsx","usuarios, auditoria"
"RF-015","Funcional","P-05: Reportes, Auditoría y Administración","Subproceso 5.3: Registro de Eventos Sensibles y Trazabilidad","Auditoría","Registro de Trazabilidad y Log de Auditoría","Registro automático de eventos sensibles con IP y timestamp.","Alta","Implementado 100%","AuditoriaServiceImpl.java / AuditoriaRepository.java","AdminDashboard.jsx","auditoria"
